oɪ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/4/4c/Near-close_near-front_unrounded_vowel.ogg	close-mid back rounded vowel near-close near-front unrounded vowel
dʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/01/Voiced_alveolar_plosive.ogg	lateral release voiced alveolar plosive
ə5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d9/Mid-central_vowel.ogg	 schwa
tɕh	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/02/Voiceless_alveolar_plosive.ogg http://upload.wikimedia.org/wikipedia/commons/0/0b/Voiceless_alveolo-palatal_sibilant.ogg http://upload.wikimedia.org/wikipedia/commons/d/da/Voiceless_glottal_fricative.ogg	voiceless alveolar plosive voiceless alveolo-palatal fricative voiceless glottal fricative
ts.h	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/02/Voiceless_alveolar_plosive.ogg http://upload.wikimedia.org/wikipedia/commons/a/ac/Voiceless_alveolar_sibilant.ogg http://upload.wikimedia.org/wikipedia/commons/d/da/Voiceless_glottal_fricative.ogg	voiceless alveolar plosive voiceless alveolar fricative voiceless glottal fricative
mʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/a/a9/Bilabial_nasal.ogg	lateral release voiced bilabial nasal
ɯ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e8/Close_back_unrounded_vowel.ogg	close back unrounded vowel
dʑ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/a/aa/Voiced_palatal_affricate.ogg	voiced palatal affricate
vʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/4/42/Voiced_labio-dental_fricative.ogg	lateral release voiced labio-dental fricative
e̞	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/6/6c/Close-mid_front_unrounded_vowel.ogg	lowered close-mid front unrounded vowel
tʃʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/97/Voiceless_palato-alveolar_affricate.ogg	lateral release voiceless post-alveolar affricate
ei5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/6/6c/Close-mid_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg	 close-mid front unrounded vowel close front unrounded vowel
o5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg	 close-mid back rounded vowel
onɡ5	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/2/29/Alveolar_nasal.ogg http://upload.wikimedia.org/wikipedia/commons/1/12/Voiced_velar_plosive_02.ogg	 close-mid back rounded vowel voiced alveolar nasal voiced velar plosive
ɑu5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/5/5d/Close_back_rounded_vowel.ogg	 open back unrounded vowel close back rounded vowel
iɑ5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg	 close front unrounded vowel open back unrounded vowel
ai5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/6/65/Open_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg	 open front unrounded vowel close front unrounded vowel
aɪɚ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/6/65/Open_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/4/4c/Near-close_near-front_unrounded_vowel.ogg 	open front unrounded vowel near-close near-front unrounded vowel r-coloured schwa
kh	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e3/Voiceless_velar_plosive.ogg http://upload.wikimedia.org/wikipedia/commons/d/da/Voiceless_glottal_fricative.ogg	voiceless velar plosive voiceless glottal fricative
ə1	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d9/Mid-central_vowel.ogg	 schwa
ʐ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/a/ac/Voiced_palatal_fricative.ogg	voiced palatal fricative
i2	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg	 close front unrounded vowel
